name,q,group,Mbi_Mb,nprofs,nnuprofs,tend,neutrinos,comment,viscosity,resolution,AHfix,dyn_phase,outcome,disk_phase,diskmaxtime,bern_phase,EOS,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k22,lam21,lam22,Lambda,k2T,fate,MADM,EGW,JADM,JGW,f0,fpeak,tmerg_r,tcoll_gw,tcoll,Mdisk,tdisk3D,Mdisk3D,tdisk3Dmax,Mdisk3Dmax,Munb_tot,Munb_bern_tot,tend-geo,t98mass-geo,Mej_tot-geo,Ye_ave-geo,s_ave-geo,vel_inf_ave-geo,E_kin_ave-geo,theta_rms-geo,Mej_tot-bern_geoend,Ye_ave-bern_geoend,s_ave-bern_geoend,vel_inf_ave-bern_geoend,E_kin_ave-bern_geoend,theta_rms-bern_geoend
BLh_M10201856_M0_LK_SR,1.8,BLh_M10201856_M0_LK,,,,,,,,,,passed,PC,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10201856_M0_LK_LR_AHfix,1.8,BLh_M10201856_M0_LK_AHfix,,,,,,,,,yes,passed,PC,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10201856_M0_HR,1.8,BLh_M10201856_M0,,,,,,,,,,passed,PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10201856_M0_LR,1.8,BLh_M10201856_M0,,,,,,,,,,passed,PC,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLh_M10201856_M0_SR,1.8,BLh_M10201856_M0,,,,,,,,,,passed,PC,fromed_bh_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_LR,1,DD2_M13641364_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_SR,1,DD2_M13641364_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_HR,1,DD2_M13641364_M0,,,,,,,,,,passed,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_LR_R04,1,DD2_M13641364_M0_R04,,,,,,,,,,passed,NS,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_SR_R04,1,DD2_M13641364_M0_R04,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_HR_R04,1,DD2_M13641364_M0_R04,,,,,,,,,,passed,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_LK_LR_R04,1,DD2_M13641364_M0_LK_R04,,,,,,,,,,passed,NS,not_formed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_LK_SR_R04,1,DD2_M13641364_M0_LK_R04,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M13641364_M0_LK_HR_R04,1,DD2_M13641364_M0_LK_R04,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14321300_M0_LR,1.1,DD2_M14321300_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14351298_M0_LR,1.1,DD2_M14351298_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14861254_M0_LR,1.2,DD2_M14861254_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14861254_M0_HR,1.2,DD2_M14861254_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14971246_M0_LR,1.2,DD2_M14971245_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14971245_M0_SR,1.2,DD2_M14971245_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD2_M14971245_M0_HR,1.2,DD2_M14971245_M0,,,,,,,,,,passed,NS,formed_ns_accretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
