model EOS M2 M1 Gth R1.35 Mej v Ekin
DD2_1.35_1.5 DD2 1.35 1.5 full 13.21 3.57 0.25 3.13
DD2_1.35_1.8 DD2 1.35 1.8 full 13.21 14.85 0.21 9.48
DD2_1.5_1.5 DD2 1.5 1.5 full 13.21 5.38 0.26 4.66
DD2_1.5_1.8 DD2 1.5 1.8 full 13.21 18.84 0.25 15.52
DD2_1.6_1.6 DD2 1.6 1.6 full 13.21 7.80 0.27 7.40
DD2_1.8_1.8 DD2 1.8 1.8 full 13.21 1.37 0.26 1.63
DD2_1.35_2.0 DD2 1.35 2.0 full 13.21 6.41 0.31 9.64
DD2_2.0_2.0 DD2 2.0 2.0 full 13.21 0.25 0.25 0.25
SFHO_1.2_1.2 SFHO 1.2 1.2 full 11.92 1.88 0.21 1.26
SFHO_1.2_1.35 SFHO 1.2 1.35 full 11.92 5.44 0.22 3.86
SFHO_1.2_1.6 SFHO 1.2 1.6 full 11.92 16.91 0.21 11.10
SFHO_1.2_1.8 SFHO 1.2 1.8 full 11.92 5.78 0.34 10.08
SFHO_1.35_1.5 SFHO 1.35 1.5 full 11.92 18.73 0.23 13.34
SFHO_1.35_1.8 SFHO 1.35 1.8 full 11.92 11.76 0.31 16.22
SFHO_1.5_1.5 SFHO 1.5 1.5 full 11.92 4.10 0.27 4.13
SFHO_1.5_1.8 SFHO 1.5 1.8 full 11.92 6.34 0.42 14.40
SFHO_1.6_1.6 SFHO 1.6 1.6 full 11.92 1.13 0.21 1.00
SFHO_1.8_1.8 SFHO 1.8 1.8 full 11.92 0.17 0.29 0.24
