,dset_name,EOS,M1,M2,q,C1,C2,Lambda,Mej_tot-geo,vel_inf_ave-geo,Ye_ave-geo,Mdisk3D
LS220_M120120_LK,Radice:2018pdn,,1.2,1.2,1.0,0.13871999999999995,0.13871999999999995,1439.0190974028799,0.00140069,0.14655309836400002,0.116899163673,0.1743
LS220_M1251365_LK,Radice:2018pdn,,1.365,1.25,1.092,0.15871000000000005,0.14466999999999997,848.4337488381481,0.00110871,0.160045944821,0.102591572716,
LS220_M135135_LK,Radice:2018pdn,,1.35,1.35,1.0,0.15686000000000003,0.15686000000000003,683.764650054587,0.000591045,0.15789144975400002,0.11379542362,0.0725
LS220_M140120_LK,Radice:2018pdn,,1.4,1.2,1.1666666666666667,0.16308000000000006,0.13871999999999995,893.4361626421969,0.00186003,0.15137453158199998,0.0873875323243,0.22820000000000001
LS220_M140140_LK,Radice:2018pdn,,1.4,1.4,1.0,0.16308000000000006,0.16308000000000006,536.0670891445781,0.00143295,0.167636506813,0.14415318099000002,0.0458
LS220_M144139_LK,Radice:2018pdn,,1.44,1.39,1.0359712230215827,0.16811000000000006,0.16181999999999988,499.261044023471,0.00190409,0.15717414715,0.14318727051400001,0.0391
LS220_M145145_LK,Radice:2018pdn,,1.45,1.45,1.0,0.16940000000000005,0.16940000000000005,420.747694430098,0.00164991,0.20784653420000002,0.14274620661499998,0.020499999999999997
LS220_M150150_LK,Radice:2018pdn,,1.5,1.5,1.0,0.17585999999999996,0.17585999999999996,330.155394892613,0.000334724,0.188772750697,0.084331649055,0.0016
LS220_M160160_LK,Radice:2018pdn,,1.6,1.6,1.0,0.18925999999999998,0.18925999999999998,202.340141807509,0.000319188,0.20568505157699998,0.0744507057694,0.0007000000000000001
LS220_M171171_LK,Radice:2018pdn,,1.71,1.71,1.0,0.2049999999999999,0.2049999999999999,116.005875248749,0.000285926,0.218552514584,0.08440400505909999,0.0006
SFHo_M1251365_LK,Radice:2018pdn,,1.365,1.25,1.092,0.1694400000000001,0.15459000000000012,512.595912539856,0.0014573000000000001,0.228587358059,0.138680089635,
SFHo_M135135_LK,Radice:2018pdn,,1.35,1.35,1.0,0.16750000000000007,0.16750000000000007,416.18582635048597,0.00353303,0.23522723679299998,0.16808633625,0.0623
SFHo_M140120_LK,Radice:2018pdn,,1.4,1.2,1.1666666666666667,0.17405000000000007,0.14823999999999996,538.206929183586,0.00118141,0.197334707993,0.13784596364499999,0.1173
SFHo_M140140_LK,Radice:2018pdn,,1.4,1.4,1.0,0.17405000000000007,0.17405000000000007,328.900717069208,0.00040943699999999996,0.345544726832,0.187095225847,0.0001
SFHo_M144139_LK,Radice:2018pdn,,1.44,1.39,1.0359712230215827,0.17934999999999998,0.17271,307.020572385404,0.000443001,0.325503227397,0.17931945352,0.0009
SFHo_M146146_LK,Radice:2018pdn,,1.46,1.46,1.0,0.18202000000000002,0.18202000000000002,248.48177723384103,9.88678e-06,0.18213158411400002,0.232877311919,0.0002
NL3_1.47_1.47,Lehner:2016lxy,,1.36,1.36,1.0,0.136,0.136,1657.590470319634,1.5e-05,0.45,,
NL3_1.34_1.60,Lehner:2016lxy,,1.47,1.25,0.8503401360544218,0.147,0.125,1688.4109744559714,0.0023,0.25,,
DD2_1.49_1.49,Lehner:2016lxy,,1.36,1.36,1.0,0.152,0.152,827.3475331182794,0.00043,0.3,,
DD2_1.36_1.62,Lehner:2016lxy,,1.47,1.29,0.8775510204081632,0.16399999999999998,0.14400000000000002,775.0769376230669,0.00042,0.3,,
DD2_1.27_1.71,Lehner:2016lxy,,1.54,1.18,0.7662337662337662,0.172,0.132,863.6756590585843,0.0013,0.3,,
SFHo_1.50_1.50,Lehner:2016lxy,,1.36,1.36,1.0,0.16899999999999998,0.16899999999999998,398.1669075000004,0.0034,0.25,,
SFHo_1.37_1.63,Lehner:2016lxy,,1.47,1.25,0.8503401360544218,0.183,0.154,418.34986002510385,0.0022,0.25,,
G3.765_P34.1_1.000,Kiuchi:2019lls,,1.375,1.375,1.0,0.195,0.195,208.0,0.001,,,0.001
G3.765_P34.1_0.774,Kiuchi:2019lls,,1.55,1.2,1.2919896640826873,0.21899999999999997,0.172,218.0,0.001,,,0.023
G3.887_P34.1_1.000,Kiuchi:2019lls,,1.375,1.375,1.0,0.19399999999999998,0.19399999999999998,221.0,0.001,,,0.001
G3.887_P34.1_0.774,Kiuchi:2019lls,,1.55,1.2,1.2919896640826873,0.171,0.171,230.0,0.0052,,,0.028999999999999998
G4.007_P34.1_1.000,Kiuchi:2019lls,,1.375,1.375,1.0,0.193,0.193,232.0,0.0019,,,0.0027
G3.446_P34.2_1.000,Kiuchi:2019lls,,1.375,1.375,1.0,0.191,0.191,232.0,0.001,,,0.001
G3.446_P34.2_0.774,Kiuchi:2019lls,,1.55,1.2,1.2919896640826873,0.215,0.168,245.0,0.0023,,,0.036000000000000004
G3.568_P34.2_1.000,Kiuchi:2019lls,,1.375,1.375,1.0,0.19,0.19,247.0,0.001,,,0.001
G3.568_P34.2_0.774,Kiuchi:2019lls,,1.55,1.2,1.2919896640826873,0.213,0.16699999999999998,259.0,0.013999999999999999,,,0.038
G3.687_P34.2_1.000,Kiuchi:2019lls,,1.375,1.375,1.0,0.18899999999999997,0.18899999999999997,260.0,0.0014,,,0.0078
G3.132_P34.3_1.000,Kiuchi:2019lls,,1.375,1.375,1.0,0.185,0.185,272.0,0.001,,,0.001
G3.132_P34.3_0.774,Kiuchi:2019lls,,1.55,1.2,1.2919896640826873,0.209,0.161,290.0,0.012,,,0.063
G3.252_P34.3_1.000,Kiuchi:2019lls,,1.375,1.375,1.0,0.184,0.184,288.0,0.0012,,,0.0019
G3.252_P34.3_0.774,Kiuchi:2019lls,,1.55,1.2,1.2919896640826873,0.207,0.161,305.0,0.015,,,0.12
G3.370_P34.3_1.000,Kiuchi:2019lls,,1.375,1.375,1.0,0.183,0.183,303.0,0.002,,,0.031
G2.825_P34.4_1.000,Kiuchi:2019lls,,1.375,1.375,1.0,0.17600000000000002,0.17600000000000002,345.0,0.0065,,,0.018000000000000002
G2.825_P34.4_0.774,Kiuchi:2019lls,,1.55,1.2,1.2919896640826873,0.2,0.153,373.0,0.011000000000000001,,,0.087
G2.942_P34.4_1.000,Kiuchi:2019lls,,1.375,1.375,1.0,0.17600000000000002,0.17600000000000002,362.0,0.0025,,,0.016
G2.942_P34.4_0.774,Kiuchi:2019lls,,1.55,1.2,1.2919896640826873,0.19899999999999998,0.153,387.0,0.011000000000000001,,,0.12
G2.528_P34.5_1.000,Kiuchi:2019lls,,1.375,1.375,1.0,0.163,0.163,508.0,0.0094,,,0.053
G2.528_P34.5_0.774,Kiuchi:2019lls,,1.55,1.2,1.2919896640826873,0.188,0.14,558.0,0.0056,,,0.16
G2.640_P34.5_1.000,Kiuchi:2019lls,,1.375,1.375,1.0,0.16399999999999998,0.16399999999999998,516.0,0.012,,,0.12
ALF2-137137-R2s,Dietrich:2016lyp,,1.375,1.375,1.0,0.16399999999999998,0.16399999999999998,659.430878098405,0.0034,0.1972308292331602,,0.2
H4-137137-R2s,Dietrich:2016lyp,,1.375,1.375,1.0,0.15,0.15,992.71744110475,0.0034,0.21470910553583888,,0.23
MS1b-137137-R2s,Dietrich:2016lyp,,1.375,1.375,1.0,0.145,0.145,1396.59272750785,0.0023,0.14317821063276354,,
SLy-137137-R2s,Dietrich:2016lyp,,1.375,1.375,1.0,0.177,0.177,366.20428472057097,0.016,0.1972308292331602,,0.23
ALF2-122153-R2s,Dietrich:2016lyp,,1.527,1.222,1.2495908346972175,0.182,0.147,671.778950521599,0.0075,0.20808652046684814,,0.23
H4-122153-R2s,Dietrich:2016lyp,,1.527,1.222,1.2495908346972175,0.16699999999999998,0.133,1025.80612581569,0.0066,0.21095023109728986,,
MS1b-122153-R2s,Dietrich:2016lyp,,1.527,1.222,1.2495908346972175,0.159,0.13,1427.09791140977,0.0048,0.18601075237738274,,
SLy-122153-R2s,Dietrich:2016lyp,,1.527,1.222,1.2495908346972175,0.198,0.157,385.49663984645304,0.018000000000000002,0.194164878389476,,0.2
ALF2-100150-R2s,Dietrich:2016lyp,,1.5,1.0,1.5,0.17800000000000002,0.12300000000000001,1179.32905377555,0.021,0.16552945357246848,,
H4-100150-R2s,Dietrich:2016lyp,,1.5,1.0,1.5,0.16399999999999998,0.11,1909.13703089363,0.027000000000000003,0.1726267650163207,,
MS1b-100150-R2s,Dietrich:2016lyp,,1.5,1.0,1.5,0.156,0.109,2450.56386315395,0.032,0.16278820596099708,,
SLy-100150-R2b,Dietrich:2016lyp,,1.5,1.0,1.5,0.193,0.129,774.372730729184,0.018000000000000002,0.22472205054244232,,
ALF2-110165-R2b,Dietrich:2016lyp,,1.65,1.1,1.4999999999999998,0.19699999999999998,0.134,698.931755694347,0.024,0.18384776310850237,,0.2
H4-110165-R2s,Dietrich:2016lyp,,1.65,1.1,1.4999999999999998,0.182,0.121,1099.36516243231,0.017,0.1746424919657298,,0.26
MS1b-110165-R2s,Dietrich:2016lyp,,1.65,1.1,1.4999999999999998,0.171,0.11800000000000001,1487.46165214883,0.026000000000000002,0.1746424919657298,,
SLy-110165-R2b,Dietrich:2016lyp,,1.65,1.0979999999999999,1.5027322404371586,0.215,0.142,429.846041268757,0.016,0.21954498400100148,,0.14
ALF2-117175-R2b,Dietrich:2016lyp,,1.75,0.16699999999999998,10.479041916167667,0.21,0.141,11726.2753113169,0.025,0.19924858845171275,,0.2
H4-117175-R2s,Dietrich:2016lyp,,1.75,1.167,1.4995715509854326,0.195,0.128,769.4606366170731,0.013999999999999999,0.18681541692269404,,0.26
MS1b-117175-R2s,Dietrich:2016lyp,,1.75,1.167,1.4995715509854326,0.18,0.125,1089.6701018676401,0.024,0.18681541692269404,,
SLy-117175-R2b,Dietrich:2016lyp,,1.75,1.167,1.4995715509854326,0.23,0.15,294.472973944534,0.0065,0.27313000567495327,,0.14
ALF2-100175-R2,Dietrich:2016lyp,,1.75,1.0,1.75,0.21,0.12300000000000001,731.946718443106,0.036000000000000004,0.18248287590894657,,0.26
H4-100175-R2,Dietrich:2016lyp,,1.75,1.0,1.75,0.195,0.11,1195.36678440443,0.04,0.17117242768623692,,
MS1b-100175-R2,Dietrich:2016lyp,,1.75,1.0,1.75,0.18,0.109,1583.98063695676,0.049,0.1726267650163207,,
SLy-100175-R2b,Dietrich:2016lyp,,1.75,1.0,1.75,0.23,0.129,480.556405929933,0.024,0.19235384061671346,,0.18
MS1b-094194-R2,Dietrich:2016lyp,,1.944,0.9440000000000001,2.059322033898305,0.19899999999999998,0.10300000000000001,1325.9927321504902,0.068,0.18110770276274832,,
MS1-135135-R2n,Dietrich:2015iva,,1.35,1.35,1.0,0.139,0.139,1765.0,0.0012,0.18,,
MS1-125145-R2n,Dietrich:2015iva,,1.45,1.25,1.16,0.14800000000000002,0.129,1585.0,0.0032,0.15,,
H4-135135-R2n,Dietrich:2015iva,,1.35,1.35,1.0,0.147,0.147,1107.0,0.0006,0.3,,0.085
H4-125145-R2n,Dietrich:2015iva,,1.45,1.25,1.16,0.158,0.136,1124.0,0.004,0.23,,
ALF2-135135-R2n,Dietrich:2015iva,,1.35,1.35,1.0,0.161,0.161,728.0,0.002,0.15,,0.21100000000000002
ALF2-125145-R2n,Dietrich:2015iva,,1.45,1.25,1.16,0.172,0.15,700.0,0.0106,0.15,,
SLy-135135-R2n,Dietrich:2015iva,,1.35,1.35,1.0,0.174,0.174,420.0,0.014199999999999999,0.26,,0.096
SLy-125145-R2n2,Dietrich:2015iva,,1.45,1.25,1.16,0.187,0.161,424.0,0.0054,0.3,,0.111
NL3_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00209,0.18,,
NL3_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00157,0.34,,
NL3_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.0016,0.32,,
NL3_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00186,0.3,,
GS1_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00219,0.32,,
Shen_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00233,0.23,,
TM1_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.0016699999999999998,0.16,,
TM1_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.0013700000000000001,0.36,,
TM1_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00133,0.34,,
TM1_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.0015300000000000001,0.32,,
TMA_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.0020499999999999997,0.18,,
LS375_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.0025800000000000003,0.3,,
GS2_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.0027400000000000002,0.19,,
DD2_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00307,0.22,,
DD2_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00257,0.34,,
DD2_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00226,0.32,,
DD2_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00272,0.3,,
LS220_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00199,0.28,,
LS180_1.35_1.35_x,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00226,0.29,,
SFHX_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.0061600000000000005,0.22,,
SFHO_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00483,0.23,,
SFHO_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00296,0.32,,
SFHO_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00326,0.34,,
SFHO_1.35_1.35,Bauswein:2013yna,,1.35,1.35,1.0,,,,0.00382,0.3,,
