model,bibkey,dataset,EOS,nus,q,M1,M2,Mb1,Mb2,C1,C2,Lambda,Mej,vej,Yeej,theta_rms,Mdisk,arxiv
LS220_M11461635_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,LS220,leakM0,1.42670157068063,1.635,1.146,1.233,1.83,0.193460016801049,0.132179255690912,710.811546257118,0.007293558579776,0.171838844066459,0.158115716630331,26.7735689698117,0.177803266909905,https://arxiv.org/abs/2008.04333
LS220_M10651772_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,LS220,leakM0,1.66384976525822,1.772,1.065,2.01,1.138,0.213544022932028,0.122819686851119,707.228444527819,0.01112278503768,0.14236083096085,0.06505274357486,13.1823999352782,0.068401402801278,https://arxiv.org/abs/2008.04333
SFHo_M13641364_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,SFHo,leakM0,1,1.364,1.364,1.5031,1.5031,0.169125486358989,0.169125486358989,413.665534795926,0.004026821168242,0.192096590732316,0.209913888130661,32.4816370481911,3.00952566368862E-05,https://arxiv.org/abs/2008.04333
SFHo_M13641364_M0,Vsevolod:2020pak,M0RefSet & M0/M1Set,SFHo,leakM0,1,1.364,1.364,1.5031,1.5031,0.169125486358989,0.169125486358989,413.665534795926,0.002765437671855,0.208773468528753,0.225648431767955,31.083617559985,0.018550733311039,https://arxiv.org/abs/2008.04333
SFHo_M14521283_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,SFHo,leakM0,1.13172252533125,1.452,1.283,1.404,1.6124,0.180736378468686,0.158725425634319,412.537890614385,0.00435693763076,0.22511559275645,0.1772026019896,33.2033188729789,,https://arxiv.org/abs/2008.04333
SFHo_M14521283_M0,Vsevolod:2020pak,M0RefSet & M0/M1Set,SFHo,leakM0,1.13172252533125,1.452,1.283,1.404,1.6124,0.180736378468686,0.158725425634319,412.537890614385,0.004198903637486,0.22221711362486,0.171751881664091,29.6307354773849,0.04587369962309,https://arxiv.org/abs/2008.04333
SFHo_M11461635_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,SFHo,leakM0,1.42670157068063,1.635,1.146,1.844,1.236,0.205716908037428,0.141302789693965,414.517875212227,0.002353226445482,0.140141394485128,0.188821358589811,32.8607182952391,0.236334092449397,https://arxiv.org/abs/2008.04333
SFHo_M16351146_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,SFHo,leakM0,1.42670157068063,1.635,1.146,1.236,1.844,0.205716908037428,0.141302789693965,414.517875212227,0.003782660851939,0.203696529997762,0.144907736166862,29.203083845101,0.13372722061144,https://arxiv.org/abs/2008.04333
SFHo_M10651772_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,SFHo,leakM0,1.66384976525822,1.772,1.065,2.026,1.141,0.225981987681408,0.131150586548713,408.740229598111,0.001451655084598,0.119640220882747,0.069638639794979,10.3923828033133,0.177288172773724,https://arxiv.org/abs/2008.04333
SLy4_M13641364_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,SLy4,leakM0,1,1.364,1.364,1.5016,1.5016,0.171086248008979,0.171086248008979,402.267882343068,0.000868565426556,0.267186369534498,0.225115020270287,30.8146590634762,,https://arxiv.org/abs/2008.04333
SLy4_M13641364_M0,Vsevolod:2020pak,M0RefSet & M0/M1Set,SLy4,leakM0,1,1.364,1.364,1.5016,1.5016,0.171086248008979,0.171086248008979,402.267882343068,0.003096677643071,0.223003251291351,0.2298802601296,32.232576128667,0.071042259248417,https://arxiv.org/abs/2008.04333
SLy4_M14521283_M0,Vsevolod:2020pak,M0RefSet & M0/M1Set,SLy4,leakM0,1.13172252533125,1.452,1.283,1.4018,1.6105,0.182852162755287,0.160381317345681,402.49910301015,0.005910771338012,0.240839907380361,0.163446452265988,29.674988435933,0.163858141545697,https://arxiv.org/abs/2008.04333
SLy4_M11461635_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,SLy4,leakM0,1.42670157068063,1.635,1.146,1.847,1.238,0.208665658273109,0.142661420718318,399.889197578552,0.001966385617167,0.153340918930974,0.209384971734239,34.0293003644054,0.188731688540429,https://arxiv.org/abs/2008.04333
SLy4_M10651772_M0_LK,Vsevolod:2020pak,M0RefSet & M0/M1Set,SLy4,leakM0,1.66384976525822,1.772,1.065,2.03,1.143,0.229659001854418,0.132282875797484,397.790629823297,0.002831881323214,0.124298571650039,0.049073800459925,8.43499714595249,0.137975506135664,https://arxiv.org/abs/2008.04333
D144144,Vincent:2019kor,M0/M1Set,DD2,M1,1,1.44,1.44,1.59677131460674,1.59677131460674,0.161,0.161,591.940633707865,0.0036,0.267,0.216,,0.1,https://arxiv.org/abs/1908.00655
D12132,Vincent:2019kor,M0/M1Set,DD2,M1,1.0989010989011,1.32,1.2,1.44066405263158,1.29683221686747,0.147,0.134,1301.81751099046,0.0046,0.273,0.21,,0.12,https://arxiv.org/abs/1908.00655
D12144,Vincent:2019kor,M0/M1Set,DD2,M1,1.20481927710843,1.44,1.2,1.59677131460674,1.29683221686747,0.161,0.134,1003.26666598297,0.00335,0.204,0.164,,0.17,https://arxiv.org/abs/1908.00655
D12156,Vincent:2019kor,M0/M1Set,DD2,M1,1.2987012987013,1.56,1.2,1.73281358293839,1.29683221686747,0.173,0.134,813.450212029459,0.00473,0.165,0.182,,0.221,https://arxiv.org/abs/1908.00655
L144144,Vincent:2019kor,M0/M1Set,LS220,M1,1,1.44,1.44,1.68190613163972,1.68190613163972,0.175,0.175,340.802464896074,0.00012,0.258,0.217,,0.043,https://arxiv.org/abs/1908.00655
L12132,Vincent:2019kor,M0/M1Set,LS220,M1,1.0989010989011,1.32,1.2,1.54486568812589,1.39453683333333,0.161,0.146,787.279222514915,0.00094,0.224,0.205,,0.121,https://arxiv.org/abs/1908.00655
L12144,Vincent:2019kor,M0/M1Set,LS220,M1,1.20481927710843,1.44,1.2,1.68190613163972,1.39453683333333,0.175,0.146,616.635954410428,0.00384,0.196,0.194,,0.164,https://arxiv.org/abs/1908.00655
L12156,Vincent:2019kor,M0/M1Set,LS220,M1,1.2987012987013,1.56,1.2,1.83466966995074,1.39453683333333,0.191,0.146,480.494077743003,0.00234,0.135,0.192,,0.193,https://arxiv.org/abs/1908.00655
