name,EOS,publish,export,comment,viscosity,resolution,Mbi_Mb,M1,M2,Mb1,Mb2,Mb,Mg1,Mg2,R1,R2,C1,C2,k21,k31,k41,k22,k32,k42,lam21,lam31,lam41,lam22,lam32,lam42,Lambda,k2T,tend,finished,MADM,EGW,JADM,JGW,f0,fpeak,tcoll,Mdisk,Mej,Yeej,Sej,vej,Ekej,Mej_shocked,Mej_tidal
LS220_M145145_LK,LS220,yes,yes,leakage,,0.125,1,1.45,1.45,1.59559,1.59559,3.19118,1.42533331136921,1.42533331136921,8.55962219598583,8.55962219598583,0.1694,0.1694,0.08804,0.02413,0.00899,0.08804,0.02413,0.00899,420.747694430098,803.715264210768,1490.66390090812,420.747694430098,803.715264210768,1490.66390090812,420.747694430098,78.8901927056434,9.7294302262711,yes,2.86832,0.0439532526921,7.90779,1.45775004098,681.082,2589.56838906,2.25905847582748,0.0447074120008,0.00164991,0.142746206615,14.0350686228,0.2078465342,0.82280554534,,
LS220_M150150_LK,LS220,yes,yes,leakage,,0.125,1,1.5,1.5,1.65889,1.65889,3.31778,1.47584056920497,1.47584056920497,8.5295121119072,8.5295121119072,0.17586,0.17586,0.0833,0.02254,0.00828,0.0833,0.02254,0.00828,330.155394892613,577.727667593029,980.318986468888,330.155394892613,577.727667593029,980.318986468888,330.155394892613,61.904136542365,8.19258219538988,yes,2.96872,0.0302476766708,8.38217,1.25091135996,689.34,5378.3343465,0.926831527308355,0.00227922706427,0.000334724,0.084331649055,11.4696793065,0.188772750697,0.127645802857,,
LS220_M160160_LK,LS220,yes,yes,leakage,,0.125,1,1.6,1.6,1.79049,1.79049,3.58098,1.57927179564686,1.57927179564686,8.4539786537039,8.4539786537039,0.18926,0.18926,0.0737,0.0194,0.00692,0.0737,0.0194,0.00692,202.340141807509,297.391544393793,423.074908562573,202.340141807509,297.391544393793,423.074908562573,202.340141807509,37.9387765889079,8.31080127468843,yes,3.1741,0.0343942611043,9.40155,1.48384415021,705.866,3137.36170213,0.626660440513423,0.000967769908137,0.000319188,0.0744507057694,8.36088593963,0.205685051577,0.141422331945,,
LS220_M171171_LK,LS220,yes,yes,leakage,,0.125,1,1.71,1.71,1.92768,1.92768,3.85536,1.68468539969481,1.68468539969481,8.34146341463415,8.34146341463415,0.205,0.205,0.063,0.01601,0.00551,0.063,0.01601,0.00551,116.005875248749,140.298504309224,164.137398561997,116.005875248749,140.298504309224,164.137398561997,116.005875248749,21.7511016091405,7.8142811416345,yes,3.38306,0.0444094661477,10.5037,1.80098468498,721.974,3635.3556231,0.492571873451075,0.000770997252749,0.000285926,0.0844040050591,8.76763318936,0.218552514584,0.144462474468,,
SFHo_M1251365_LK,SFHo,yes,yes,leakage,,0.125,1,1.365,1.25,1.50363,1.36409,2.86772,1.35496226650559,1.24114285126372,8.05594900849858,8.08590465101235,0.16944,0.15459,0.08124,0.02106,0.00743,0.08891,0.02355,0.00851,387.792086036172,700.302221651519,1229.37966569351,671.355212645814,1488.19509161514,3214.6795097282,512.595912539856,96.1752772192163,24.5777465861696,yes,2.58906,0.081208482123,6.6146,2.23098959901,653.88,3187.16109422,inf,nan,0.0014573,0.138680089635,14.4674806919,0.228587358059,0.918116686798,,
SFHo_M135135_LK,SFHo,yes,yes,leakage,,0.125,1,1.35,1.35,1.48606,1.48606,2.97212,1.34076642306572,1.34076642306572,8.05970149253731,8.05970149253731,0.1675,0.1675,0.08231,0.0214,0.00758,0.08231,0.0214,0.00758,416.185826350486,771.345287115701,1391.15845589311,416.185826350486,771.345287115701,1391.15845589311,416.185826350486,78.0348424407161,20.9720646675637,yes,2.67358,0.0708649332265,7.01839,2.03861841658,663.802,3386.35866261,11.957443142908,0.141020566393,0.00353303,0.16808633625,14.2872614841,0.235227236793,2.24185637849,,
SFHo_M135135_LK_HR,SFHo,yes,yes,leakage,,0.083333,1,1.35,1.35,1.48606,1.48606,2.97212,1.34076642306572,1.34076642306572,8.05970149253731,8.05970149253731,0.1675,0.1675,0.08231,0.0214,0.00758,0.08231,0.0214,0.00758,416.185826350486,771.345287115701,1391.15845589311,416.185826350486,771.345287115701,1391.15845589311,416.185826350486,78.0348424407161,15.2423799575604,yes,2.67358,0.0794027506973,7.01839,2.16150545845,663.802,3485.95744681,6.93707290873534,0.0569441053569,0.00234322,0.172650519542,14.3644866665,0.21258093729,1.2348556465,,
SFHo_M135135_LK_LR,SFHo,yes,yes,leakage,,0.166666,1,1.35,1.35,1.48606,1.48606,2.97212,1.34076642306572,1.34076642306572,8.05970149253731,8.05970149253731,0.1675,0.1675,0.08231,0.0214,0.00758,0.08231,0.0214,0.00758,416.185826350486,771.345287115701,1391.15845589311,416.185826350486,771.345287115701,1391.15845589311,416.185826350486,78.0348424407161,9.67820195857506,yes,2.67358,0.0562882719166,7.01839,1.71959026328,663.802,3585.556231,3.43778816148714,0.0377932018412,0.0036228,0.175831366238,13.6944091294,0.240880946973,2.34663056181,,
SFHo_M135135_M0,SFHo,yes,no,M0,,0.125,1,1.35,1.35,1.48606,1.48606,2.97212,1.34076642306572,1.34076642306572,8.05970149253731,8.05970149253731,0.1675,0.1675,0.08231,0.0214,0.00758,0.08231,0.0214,0.00758,416.185826350486,771.345287115701,1391.15845589311,416.185826350486,771.345287115701,1391.15845589311,416.185826350486,78.0348424407161,15.2384393215838,yes,2.67358,0.0787698977732,7.01839,2.16856166813,663.802,3436.15805471,7.725200104008,0.0531226223581,0.00415131,0.22419246258,17.1231742022,0.219647104556,2.40116220563,,
SFHo_M140120_LK,SFHo,yes,yes,leakage,,0.125,1,1.4,1.2,1.54655,1.30308,2.84963,1.38947461721214,1.19061553998222,8.0436656133295,8.09498111171074,0.17405,0.14824,0.0788,0.02028,0.0071,0.09204,0.02458,0.00896,328.900717069208,558.84129957785,922.641099854033,857.152940585437,2083.35256172702,4936.96501256056,538.206929183586,101.113421533049,22.2015430922687,yes,2.57338,0.0606793270017,6.52472,1.8507888935,652.73,3087.56231003,inf,nan,0.00118141,0.137845963645,14.2375321329,0.197334707993,0.587093322275,,
SFHo_M140120_M0,SFHo,no,no,M0,,0.125,1,1.4,1.2,1.54655,1.30308,2.84963,1.38947461721214,1.19061553998222,8.0436656133295,8.09498111171074,0.17405,0.14824,0.0788,0.02028,0.0071,0.09204,0.02458,0.00896,328.900717069208,558.84129957785,922.641099854033,857.152940585437,2083.35256172702,4936.96501256056,538.206929183586,101.113421533049,30.6423853541855,yes,2.57338,0.0633278735501,6.52472,1.8852813648,652.73,3137.36170213,inf,nan,0.00302384,0.218538548707291,17.0149479208556,0.160097161085901,1.04508271374306,,
SFHo_M140120_M0_v4,SFHo,yes,no,M0,,0.125,1,1.4,1.2,1.54655,1.30308,2.84963,1.38947461721214,1.19061553998222,8.0436656133295,8.09498111171074,0.17405,0.14824,0.0788,0.02028,0.0071,0.09204,0.02458,0.00896,328.900717069208,558.84129957785,922.641099854033,857.152940585437,2083.35256172702,4936.96501256056,538.206929183586,101.113421533049,30.6423853541855,yes,2.57338,0.0633278735501,6.52472,1.8852813648,652.73,3137.36170213,inf,nan,0.00302384,0.218538548707291,17.0149479208556,0.160097161085901,1.04508271374306,,
SFHo_M140140_LK,SFHo,yes,yes,leakage,,0.125,1,1.4,1.4,1.54656,1.54656,3.09312,1.38948263110076,1.38948263110076,8.0436656133295,8.0436656133295,0.17405,0.17405,0.0788,0.02028,0.0071,0.0788,0.02028,0.0071,328.900717069208,558.84129957785,922.641099854033,328.900717069208,558.84129957785,922.641099854033,328.900717069208,61.6688844504766,12.1292775360318,yes,2.7696,0.034708053755,7.43612,1.29371804971,671.38,5378.3343465,1.07318462385344,0.00215930032465,0.000409437,0.187095225847,36.6511279899,0.345544726832,0.604347248107,,
SFHo_M144139_LK,SFHo,yes,yes,leakage,,0.125,1,1.44,1.39,1.59791,1.53462,3.13253,1.43046334246835,1.37990502847486,8.02899358795651,8.04817323837647,0.17935,0.17271,0.07593,0.01937,0.00672,0.07947,0.02049,0.00719,272.781702604057,432.671899509808,666.649473632357,344.766081693866,596.016531508218,1001.64131429215,307.020572385404,57.573610303017,7.82610304956436,yes,2.80062,0.0330032235778,7.58098,1.29033358683,674.582,5975.92705167,0.873320790512205,0.00437431999677,0.000443001,0.17931945352,15.962215069,0.325503227397,0.528581448686,,
SFHo_M146146_LK,SFHo,yes,yes,leakage,,0.125,1,1.46,1.46,1.623,1.623,3.246,1.4503631596386,1.4503631596386,8.0210965827931,8.0210965827931,0.18202,0.18202,0.07447,0.01891,0.00653,0.07447,0.01891,0.00653,248.481777233841,380.8873027166,567.129042039525,248.481777233841,380.8873027166,567.129042039525,248.481777233841,46.5903332313452,7.40051436408956,yes,2.88966,0.0313396945023,7.99412,1.32621286818,681.952,5926.12765957,0.699299074144665,0.000364069094185,9.88678E-06,0.232877311919,118.518385275,0.182131584114,0.00349182000882,,
